IDX,Source,Category,Topic,References,Description,Done
1,What Most Catholics Get Wrong,,"3 Levels of Reasoning: ""What you grew up with"", 2) What you believe, 3) How you act (Tradition, Belief, Action)",,,10/21/20
2,What Most Catholics Get Wrong,,Not good at Evangelizing,,,19-Aug
3,What Most Catholics Get Wrong,,Women can’t be priests,,,remove
4,What Most Catholics Get Wrong,,Guilt as a Catholic tradition,,Michael R said he has a plan for this one (a year ago),8/26/20
5,What Most Catholics Get Wrong,,Real-Presence / Transubstantiation,,,remove
6,What Most Catholics Get Wrong,,How should we be following the Code of Canon Law? (How do we learn about it and how much do we put in practice?),,,remove
7,What Most Catholics Get Wrong,,What is the scope of the Church's authority in our lives? Should we defer to the Church on all moral issues? When do we just with our conscience?,,,2/13/19
8,What Most Catholics Get Wrong,,Should public leaders and people in positions of authority defer to Church teaching?,,,remove
9,What Most Catholics Get Wrong,,Catholics believe people are saved by works [Faith vs. Works and the claim that Catholics believe they are saved by works],,,remove
10,What Most Catholics Get Wrong,,Catholics believe only Catholics can go to heaven,,,remove
11,What Most Catholics Get Wrong,,Women are excluded from positions of leadership,,,remove
12,What Most Catholics Get Wrong,,No meat on Fridays (ever),,,remove
13,What Most Catholics Get Wrong,,Catholic Mass is just a homily / The Homily is the only part I “get anything out of”,,,remove
14,What Most Catholics Get Wrong,,General Understanding/Value of the Mass,,,remove
15,What Most Catholics Get Wrong,,Gay Marriage,,,X
16,What Most Catholics Get Wrong,,"Other sexual morality, lust, purity: pornography, masturbation, fornication",,,4/17/19
17,Old Ideas spreadsheet,Catechism,The Filioque Controversy in the Byzantine Schism,"http://www.newworldencyclopedia.org/entry/Filioque_clause
There is also a CSYSK podcast about the Byzantine/Orthodox Schism",,remove
18,Old Ideas spreadsheet,,How the Church has historically adapted to culture,,,12/19/18
19,Old Ideas spreadsheet,,Holy Spirit,,,10/10/18
20,Old Ideas spreadsheet,Catechism,"Sacramentals and Relics: Scapulars, Holy Water, Rosary",,,X
21,Old Ideas spreadsheet,Scripture,Job,Reese to lead,The book of Job; can someone lead us through a summary of it?,6/7/23
22,Old Ideas spreadsheet,,Invite a priest,,,X
23,Old Ideas spreadsheet,,Revisit Giussani book: Religious Awareness in Modern Man,,,duplicated in row 84
24,Old Ideas spreadsheet,,Symbolism in the Mass,,,2018
25,Old Ideas spreadsheet,,Tradition: Faith as Scripture and Tradition (versus Sola Scriptura); Tradition and tradition,,,X
26,Old Ideas spreadsheet,,Theology of the Body. Format: one person researching and leading? read chapter ahead of time and discuss? read it during group? Christopher West (?) has a video series on it (Jared),https://ascensionpress.com/shop/products/an-introduction-to-the-theology-of-the-body-8-part-study,,6/8/22
27,Old Ideas spreadsheet,,Papal Encyclicals,,,10/24/18
28,Old Ideas spreadsheet,,Summa Theologica or other readings from Doctors or Fathers of the Church,,,
29,Old Ideas spreadsheet,Scripture,Series: a whole book (Gospel? Epistle?),,,18-Jan
30,Old Ideas spreadsheet,Culture,How to Respond to People on the Street. give? how/why?,,,remove
31,Old Ideas spreadsheet,,Beatitudes: reflect on each one and how to live it out,,,5/22/19
32,Old Ideas spreadsheet,,"Seven Deadly sins, 1 week for each; Spiritual, physical, Emotional, relationship, mental accountability",,,19-Apr
33,Old Ideas spreadsheet,Catechism,Mortal sin: Is it easy or hard to commit mortal sin?,,,remove
34,Old Ideas spreadsheet,,Sunday readings,"See reflection question on catholic4waukesha.org, Citywide Ino/Faith Formation tabs",,remove
35,Old Ideas spreadsheet,,Vulnerability,Vulnerability,,remove
36,Old Ideas spreadsheet,,"Reaction and managemtn of ""Christian/catholic extermists""",,,6/5/19
37,Levi,Other,Invite a Jesuit to talk,,,Summer 18
